,OCC_TITLE,OCC_GROUP
257,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed
258,"Food Preparation and Serving Related Workers, All Other",detailed
260,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed
261,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed
262,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed
263,Maids and Housekeeping Cleaners,detailed
264,Landscaping and Groundskeeping Workers,detailed
265,"Grounds Maintenance Workers, All Other",detailed
267,First-Line Supervisors of Personal Service Workers,detailed
268,Nonfarm Animal Caretakers,detailed
269,Gaming and Sports Book Writers and Runners,detailed
270,"Ushers, Lobby Attendants, and Ticket Takers",detailed
271,Amusement and Recreation Attendants,detailed
272,"Locker Room, Coatroom, and Dressing Room Attendants",detailed
273,"Entertainment Attendants and Related Workers, All Other",detailed
274,"Hairdressers, Hairstylists, and Cosmetologists",detailed
275,Manicurists and Pedicurists,detailed
276,Skincare Specialists,detailed
277,Baggage Porters and Bellhops,detailed
278,Concierges,detailed
279,Tour Guides and Escorts,detailed
280,Childcare Workers,detailed
281,Personal Care Aides,detailed
282,Fitness Trainers and Aerobics Instructors,detailed
283,Recreation Workers,detailed
284,Residential Advisors,detailed
285,"Personal Care and Service Workers, All Other",detailed
287,First-Line Supervisors of Retail Sales Workers,detailed
288,First-Line Supervisors of Non-Retail Sales Workers,detailed
289,Cashiers,detailed
290,Counter and Rental Clerks,detailed
291,Parts Salespersons,detailed
292,Retail Salespersons,detailed
293,Advertising Sales Agents,detailed
294,Insurance Sales Agents,detailed
295,"Securities, Commodities, and Financial Services Sales Agents",detailed
296,Travel Agents,detailed
297,"Sales Representatives, Services, All Other",detailed
298,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed
299,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed
300,Demonstrators and Product Promoters,detailed
301,Real Estate Sales Agents,detailed
302,Sales Engineers,detailed
303,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed
304,"Sales and Related Workers, All Other",detailed
