,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
27707,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9031,Desktop Publishers,detailed,"51,250"
27708,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9041,Insurance Claims and Policy Processing Clerks,detailed,"37,290"
27709,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"34,050"
27710,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9061,"Office Clerks, General",detailed,"38,490"
27711,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9071,"Office Machine Operators, Except Computer",detailed,"35,740"
27712,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9081,Proofreaders and Copy Markers,detailed,"37,760"
27713,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9111,Statistical Assistants,detailed,"52,010"
27714,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",43-9199,"Office and Administrative Support Workers, All Other",detailed,"43,290"
27715,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-0000,"Farming, Fishing, and Forestry Occupations",major,"38,570"
27716,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,"64,050"
27717,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-2011,Agricultural Inspectors,detailed,"44,770"
27718,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,"31,520"
27719,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,"35,520"
27720,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-4011,Forest and Conservation Workers,detailed,"38,960"
27721,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",45-4022,Logging Equipment Operators,detailed,"27,550"
27722,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-0000,Construction and Extraction Occupations,major,"48,470"
27723,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"70,680"
27724,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2011,Boilermakers,detailed,"65,080"
27725,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2021,Brickmasons and Blockmasons,detailed,"50,200"
27726,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2022,Stonemasons,detailed,"55,470"
27727,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2031,Carpenters,detailed,"46,100"
27728,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2041,Carpet Installers,detailed,"28,670"
27729,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,"38,660"
27730,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2044,Tile and Marble Setters,detailed,"45,770"
27731,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2051,Cement Masons and Concrete Finishers,detailed,"43,590"
27732,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2061,Construction Laborers,detailed,"34,430"
27733,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,"39,430"
27734,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,"45,470"
27735,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2081,Drywall and Ceiling Tile Installers,detailed,"41,190"
27736,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2082,Tapers,detailed,"38,840"
27737,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2111,Electricians,detailed,"56,020"
27738,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2121,Glaziers,detailed,"47,980"
27739,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,"38,730"
27740,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2132,"Insulation Workers, Mechanical",detailed,"48,380"
27741,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2141,"Painters, Construction and Maintenance",detailed,"42,010"
27742,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2151,Pipelayers,detailed,"42,100"
27743,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,"56,320"
27744,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2161,Plasterers and Stucco Masons,detailed,"58,660"
27745,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2171,Reinforcing Iron and Rebar Workers,detailed,"50,420"
27746,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2181,Roofers,detailed,"51,980"
27747,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2211,Sheet Metal Workers,detailed,"51,820"
27748,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-2221,Structural Iron and Steel Workers,detailed,"51,380"
27749,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,"31,710"
27750,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-3012,Helpers--Carpenters,detailed,"28,220"
27751,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-3013,Helpers--Electricians,detailed,"29,390"
27752,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,"32,220"
27753,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-3016,Helpers--Roofers,detailed,"31,010"
27754,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-3019,"Helpers, Construction Trades, All Other",detailed,"33,770"
27755,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4011,Construction and Building Inspectors,detailed,"64,150"
27756,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4021,Elevator Installers and Repairers,detailed,"79,370"
27757,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4031,Fence Erectors,detailed,"32,020"
27758,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4041,Hazardous Materials Removal Workers,detailed,"38,120"
27759,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4051,Highway Maintenance Workers,detailed,"39,140"
27760,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed,"60,140"
27761,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,"48,200"
27762,DC,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47-4099,"Construction and Related Workers, All Other",detailed,"47,420"
